Area,X,Y,Aligned X,Aligned Y,Group,Row,Order
185,2863.954,4670.786,23413.14778,1248.36525496975,6,12,22
192,871.208,2577.969,357.076560000001,1067.48219533276,6,12,3
194,2892.84,4628.448,23747.3588,1244.70596369922,6,12,22
195,1645.064,3472.905,9310.59048,1144.83189282627,6,11,12
197,2528.637,4323.525,19533.53009,1218.35133967156,6,12,19
197,2870.195,4636.749,23485.35615,1245.42342264477,6,12,21
198,1843.808,3784.788,11610.05856,1171.78807260156,6,11,14
198,2020.303,3981.505,13652.10571,1188.79040622299,6,11,16
198,2108.894,4093.48,14677.10358,1198.46845289542,6,11,17
199,1268.646,2803.379,4955.43422,1086.96447709594,6,12,6
200,1265.64,2824.555,4920.6548,1088.79472774417,6,12,6
202,2923.406,4872.297,24101.00742,1265.78193604149,6,11,24
203,1576.904,3116.48,8521.97928,1114.02592912705,6,12,9
203,2233.51,3939.185,16118.9107,1185.13267070009,6,12,16
207,2469.2,4488.365,18845.844,1232.5985306828,6,11,20
209,2778.089,4547.117,22419.68973,1237.67649092481,6,12,20
210,2022.376,3745.324,13676.09032,1168.37718236819,6,12,14
213,2101.885,4107.34,14596.00945,1199.66637856526,6,11,17
214,2950.575,4871.949,24415.35275,1265.75185825411,6,11,24
215,1731.309,3346.621,10308.44513,1133.91711322385,6,12,11
216,2850.972,4785.671,23262.94604,1258.29481417459,6,11,23
217,1634.569,3501.726,9189.16333,1147.32290406223,6,11,12
217,2810.827,4565.445,22798.46839,1239.26058772688,6,12,21
218,2732.578,4692.284,21893.12746,1250.22333621435,6,11,22
220,2850.659,4750.895,23259.32463,1255.28910976664,6,11,23
225,1497.256,3235.478,7600.45192,1124.31097666379,6,11,10
226,1297.726,3026.456,5291.88982,1106.24511668107,6,11,8
227,1494.76,2991.504,7571.5732,1103.22420051858,6,12,8
228,2009.522,3762.645,13527.36954,1169.87424373379,6,12,14
228,2324.246,4108.035,17168.72622,1199.72644770959,6,12,17
230,1172.77,2936.622,3846.1489,1098.48072601556,6,11,7
230,2332.278,4346.148,17261.65646,1220.30665514261,6,11,19
231,1294.387,3046.058,5253.25759,1107.9393258427,6,11,8
234,2431.15,4232.487,18405.6055,1210.48288677615,6,12,18
241,2874.62,4683.284,23536.5534,1249.44546240277,6,12,22
242,1920.062,3620.76,12492.31734,1157.61106309421,6,12,13
244,2881.471,4655.918,23615.81947,1247.08020743302,6,12,22
245,2889.557,4850.267,23709.37449,1263.87787381158,6,11,24
246,2314.366,4345.211,17054.41462,1220.22566983578,6,11,19
247,869.856,2558.107,341.433920000001,1065.76551426102,6,12,3
260,2836.177,4753.423,23091.76789,1255.50760587727,6,11,23
260,2855.408,4644.846,23314.27056,1246.12324978392,6,12,22
262,2804.977,4500.244,22730.78389,1233.62523768366,6,12,21
263,1485.644,3252.797,7466.10108,1125.80786516854,6,11,10
263,1453.279,2990.88,7091.63803,1103.17026793431,6,12,8
265,2423.504,4191.813,18317.14128,1206.96741573034,6,12,18
266,2447.827,4490.895,18598.55839,1232.81719965428,6,11,20
267,2473.496,4457.833,18895.54872,1229.95963699222,6,11,20
269,1489.329,3271.968,7508.73653,1127.46482281763,6,11,10
270,2934.059,4889.478,24224.26263,1267.2668971478,6,11,24
271,1933.939,3884.913,12652.87423,1180.4419187554,6,11,15
273,2419.115,4215.185,18266.36055,1208.98746758859,6,12,18
277,2626.067,4583.045,20660.79519,1240.78176318064,6,11,21
278,2751.187,4654.032,22108.43359,1246.91719965428,6,11,22
278,2431.54,4245.629,18410.1178,1211.6187554019,6,12,18
