X,,Area (AU),,,,,
,0-50,50-150,150-300,300-800,800-1800,1800-3000,3000-8000
-550.712,380.3755,,,,,,
-1.98900000000003,39.5975000000003,,,,,,
-628.823,-843.6805,,,,,,
-193.323,-976.9025,,,,,,
-9.59999999999991,-1028.6245,,,,,,
-789.156,-1280.0695,,,,,,
-1090.823,-1667.6805,,,,,,
-1323.156,-1705.6245,,,,,,
-1058.434,-2813.6245,,,,,,
-584.551,2735.8085,,,,,,
-748.077,2595.8605,,,,,,
-848.077,2371.9655,,,,,,
-1080.498,1709.1765,,,,,,
-290.235,781.386500000001,,,,,,
-280.498,-310.5605,,,,,,
-364.551,-425.9815,,,,,,
-1174.814,-880.5605,,,,,,
-265.761,-1220.0345,,,,,,
-1150.235,-1344.8235,,,,,,
-239.814,-1566.4025,,,,,,
-693.393,-1736.3495,,,,,,
-940.972,-1980.5075,,,,,,
-1130.919,-1993.0865,,,,,,
-1661.603,-2095.7705,,,,,,
-1435.814,-2282.6655,,,,,,
-450.956,2609.7475,,,,,,
-444.706,2605.2975,,,,,,
-737.906,2595.6475,,,,,,
-1055.106,2027.7475,,,,,,
-889.356,1960.1975,,,,,,
-295.956,1552.3475,,,,,,
-522.706,1340.9975,,,,,,
-313.206,776.4475,,,,,,
-1069.206,508.9475,,,,,,
-618.956,19.8975000000005,,,,,,
-346.756,-178.9025,,,,,,
-758.106,-333.4525,,,,,,
-932.656,-623.4525,,,,,,
-637.606,-849.352499999999,,,,,,
-748.306,-1920.3525,,,,,,
-367.256,-1941.1525,,,,,,
-1649.406,-2249.8525,,,,,,
-931.956,-2519.5025,,,,,,
-443.406,-2824.2025,,,,,,
-789.18,2125.7405,,,,,,
-531.704,1544.5495,,,,,,
-252.085,1113.9785,,,,,,
-271.561,496.4075,,,,,,
-820.132,-169.9735,,,,,,
-263.656,-304.1165,,,,,,
-383.418,-433.6405,,,,,,
6.48700000000008,-768.021499999999,,,,,,
-1177.085,-891.7835,,,,,,
-162.846,-1129.7355,,,,,,
-681.18,-1729.9735,,,,,,
-1378.323,-2432.5455,,,,,,
-777.338,1541.7335,,,,,,
-336.338,1025.6425,,,,,,
-875.792,500.415500000001,,,,,,
-1164.065,-881.6755,,,,,,
96.5259999999998,-942.0385,,,,,,
-813.156,-1142.4935,,,,,,
-1008.701,-1195.1755,,,,,,
-166.52,-1346.3115,,,,,,
-1161.792,-1532.8575,,,,,,
-1106.565,-1661.3115,,,,,,
-615.929,-1866.1755,,,,,,
373.299,-1944.0385,,,,,,
-1126.201,-2005.5385,,,,,,
-726.974,-2072.7665,,,,,,
-461.247,-2172.7665,,,,,,
-1423.065,-2263.5385,,,,,,
-845.786,2384.4235,,,,,,
-639.265,864.640500000001,,,,,,
-270.308,504.7275,,,,,,
-954.178,413.2065,,,,,,
-924.569,198.2935,,,,,,
-931.134,-632.4025,,,,,,
-1203.265,-1232.3155,,,,,,
-540.178,-1353.0115,,,,,,
-948.439,-1975.2725,,,,,,
-874.873,-2117.7935,,,,,,
-1163.526,-2407.2285,,,,,,
-1048.83,-2816.2725,,,,,,
-741.448,2574.8475,,,,,,
-285.739,1336.7225,,,,,,
-373.906,1251.2645,,,,,,
-10.781,1087.0555,,,,,,
-577.156,1002.3475,,,,,,
-976.698,984.3055,,,,,,
-214.698,851.7645,,,,,,
-405.823,-1269.7355,,,,,,
-1489.698,-1426.0695,,,,,,
-839.364,-2728.7775,,,,,,
-887.936,1950.8775,,,,,,
-388.856,1441.5975,,,,,,
-337.896,1018.7175,,,,,,
-445.256,519.917500000001,,,,,,
-373.936,112.0775,,,,,,
-956.976,-258.8025,,,,,,
-121.136,-364.0425,,,,,,
-375.616,-434.7625,,,,,,
112.064,-897.6425,,,,,,
-815.496,-1154.8025,,,,,,
-626.616,-1217.0025,,,,,,
-841.336,-1436.3225,,,,,,
-870.896,-1781.7625,,,,,,
-1373.136,-2424.2825,,,,,,
-728.616,-2461.0025,,,,,,
-450.156,2598.5975,,,,,,
-1048.771,2033.4435,,,,,,
-22.694,1998.4435,,,,,,
-328.964,1021.5595,,,,,,
-878.118,871.9435,,,,,,
-590.041,658.174500000001,,,,,,
-446.656,231.328500000001,,,,,,
-733.31,145.482500000001,,,,,,
-417.041,-922.748499999999,,,,,,
-781.656,-961.440499999999,,,,,,
-616.31,-1220.4025,,,,,,
-186.425,-1350.9405,,,,,,
-1186.964,-1530.9795,,,,,,
-1315.925,-1700.0945,,,,,,
-931.579,-1980.7105,,,,,,
-1121.156,-1998.4025,,,,,,
-622.656,-2202.9025,,,,,,
-1367.464,-2454.7105,,,,,,
-292.508,1561.5975,,,,,,
-653.915,1413.4125,,,,,,
704.233,686.7825,,,,,,
-360.841,98.0045000000005,,,,,,
-838.841,-155.5505,,,,,,
-374.952,-709.2915,,,,,,
-1176.989,-1520.9215,,,,,,
-1095.656,-1681.7725,,,,,,
-1598.286,-1888.2545,,,,,,
-615.582,-2210.8095,,,,,,
-941.804,-2517.2915,,,,,,
-1306.545,-2672.9585,,,,,,
726.273,2520.1685,,,,,,
-837.442,2380.9905,,,,,,
-919.727,1404.8115,,,,,,
-224.585,860.4905,,,,,,
-174.942,638.3475,,,,,,
-637.942,-242.2595,,,,,,
-966.156,-259.9025,,,,,,
-971.763,-277.4735,,,,,,
-257.085,-319.4025,,,,,,
-561.156,-360.5455,,,,,,
-1191.049,-1209.1885,,,,,,
-17.656,-1252.7955,,,,,,
-456.263,-1499.2955,,,,,,
-1472.977,-1706.5095,,,,,,
-1497.12,-2074.3315,,,,,,
-886.799,-2128.8665,,,,,,
-607.156,-2207.8665,,,,,,
-1233.37,-2227.5095,,,,,,
