,,Y
443,1371.39,1031.4
444,2806.828,1029.327
445,1566.5,1019.5
446,1614.901,1046.053
447,1689.946,1073.647
448,2553.365,1035.276
449,940.492,1046.442
450,2596.536,1054.026
451,2259.5,1034.5
452,2831.672,1050.885
453,2958.893,1047.515
454,2283.287,1051.126
455,2812.336,1046.758
456,1370.504,1045.496
457,2564.403,1053.432
458,2215.882,1059.139
459,2940.966,1053.728
460,1638.02,1049.364
461,2848.236,1063.568
462,1404.52,1062.296
463,2245.419,1050.497
464,1348.78,1064.457
465,2536.745,1061.446
466,2793.078,1055.001
467,2859.5,1047.5
468,1389.5,1054.577
469,2262.541,1063.71
470,964.5,1052.5
471,1380.514,1057.703
472,1362.609,1059.359
473,967.699,1073.497
474,1371.1,1056.3
475,1650.19,1060.18
476,1628.478,1061.016
477,1660.57,1087.621
478,952.683,1067.317
479,2973.028,1070.641
480,1395.233,1064.3
481,1371,1062.5
482,2251.912,1074.273
483,927.104,1081.411
484,940.577,1067.013
485,1383.118,1069.794
486,2934.033,1072.2
487,1370,1068.056
488,1391.556,1068.944
489,1648.79,1075.795
490,2799.345,1074.698
491,1611.5,1066.5
492,1625.569,1084.967
493,2955.601,1082.801
494,1629.325,1074.119
495,2819.465,1086.955
496,946.598,1079.471
497,1637.722,1074.389
498,1381.065,1078.118
499,1976.319,1084.651
500,1947.448,1089.182
501,2922.464,1083.95
502,1635.467,1081.767
503,1371.828,1089.786
504,957.385,1084.654
505,1992.64,1096.034
506,2935.661,1094.334
507,2974.199,1104.467
508,951.05,1090.35
509,2915.523,1099.38
510,732.5,1093.5
511,948.467,1099.242
512,1965.076,1100.596
513,955.685,1113.366
514,2008.596,1118.792
515,2952.778,1117.761
516,1955.326,1109.549
517,2938.59,1110.712
518,670.059,1116.545
519,2912.988,1113.4
520,1972.792,1115.579
521,1992.871,1112.274
522,1963.973,1126.173
523,1983.462,1119.654
524,2921.991,1126.962
525,2026.5,1121.5
526,679.057,1144.419
527,2933.218,1139.462
528,1105.617,1139.349
529,649.65,1148.858
530,2960.959,1140.343
531,2946.312,1148.793
532,638.5,1138.5
533,2715.536,1158.977
534,1112.19,1148.024
535,1806.578,1161.008
536,1099.793,1151.397
537,1132.165,1167.956
538,1533.927,1165.748
539,1089.329,1170.643
540,2420.537,1166.504
541,1107.8,1158.4
542,1116.8,1157.9
543,1797.99,1164.829
544,2112.159,1173.777
545,659.55,1173.651
546,1761.678,1170.319
547,2688.979,1170.624
548,798.939,1181.303
549,1104.6,1168.12
550,1118.22,1167.22
551,2393.872,1176.767
552,2741.098,1189.332
553,1784.552,1175.293
554,1501.172,1192.745
555,1804.399,1176.838
556,2440.57,1190.386
557,1119.059,1179.779
558,1517.622,1181.892
559,1773.277,1183.227
560,1106.007,1183.167
561,1544.208,1187.117
562,1552.279,1208.159
563,2090.877,1188.132
564,2684.177,1184.87
565,1531.014,1186.564
566,838.454,1201.226
567,1256.052,1188.409
568,1807.727,1199.305
569,1770.435,1199.724
570,1125.5,1184.5
571,2074.95,1193.038
572,2127.343,1193.668
573,1800.536,1190.232
574,2874.235,1193.246
575,1107.302,1203.119
576,2856.5,1186.5
577,1784.203,1191.5
578,2896.313,1194.513
579,2392.299,1195.441
580,2858.752,1197.848
581,2690.582,1202.032
582,1524.236,1207.173
583,2413.188,1204.773
584,1228.553,1209.07
585,1249.306,1199.637
586,1791.062,1200.411
587,1530.229,1202.695
588,2071.906,1218.4
589,2916.627,1206.195
590,1540.993,1203.312
591,2714.703,1217.744
592,807.021,1213.867
593,1275.079,1211.889
594,2111.144,1206.807
595,2089.944,1207.222
596,2885.252,1212.795
597,1264.31,1206.207
598,2852.779,1208.466
599,1241.076,1206.742
600,2399.735,1220.934
601,1517.203,1222.515
602,2907.778,1229.975
603,1251,1219
604,1931.5,1212.5
605,1241.833,1217.694
606,1261.554,1216.824
607,2096.94,1220.197
608,2852.865,1224.214
609,2116.5,1216.5
610,2115.886,1229.946
611,836.85,1238.234
612,1254.705,1227.409
613,2880.31,1241.083
614,2861.305,1241.52
615,2890.886,1252.76
616,1902.5,1259.5
617,1907.5,1259.5
618,985.967,1273.621
619,1023.948,1289.415
620,997.732,1288.432
621,1011.489,1290.256
622,1402.182,1292.922
623,619.5,1284.5
624,1005.5,1284.5
625,615.5,1285.5
626,620.201,1298.521
627,1671.242,1297.755
628,639.5,1288.5
629,982.5,1302.979
630,2574.712,1304.404
631,968.5,1292.5
632,1381.031,1320.752
633,2522.081,1297.855
634,973.5,1293.5
