Area,vx,vy,vz,Group,Row,Order
114,-0.537215771453852,-0.267203888274657,0.800000810619681,5,10,7
114,0.614528223618788,-0.757954394053975,-0.218769739475569,5,10,11
114,0.610870863940938,0.787175526848994,0.084802579666308,6,11,13
114,-0.501724032532625,-0.328707577822066,-0.800140189880219,7,14,8
114,-0.797337089872992,-0.321950415979618,0.51049142476972,8,16,3
114,-0.650528673323538,0.364629802373864,-0.666226352229266,9,18,9
114,0.892380535824768,-0.127688807684714,-0.432842405123569,9,18,13
114,0.037811873976271,-0.065234056932028,0.997153338259764,10,19,8
114,-0.07274811932894,-0.753543228484543,0.65336078390059,11,21,2
114,-0.539845597541721,0.326615449430366,-0.775815106200068,11,21,8
115,-0.957945473472526,0.132547160860581,0.254502888001879,2,4,11
115,0.117973134601292,0.025098089420166,-0.992699564530882,3,5,11
115,0.284385535989113,-0.017856788237671,-0.958543688119649,6,12,13
115,0.2906715595892,0.559925858887577,-0.775882128286888,7,13,6
115,0.840719950413637,-0.103800408644662,0.531427737459848,7,14,17
115,-0.96499592187068,-0.105530300872288,0.240096285624663,9,18,6
115,0.973430261449894,-0.105149552367676,0.203413612451251,10,19,10
115,-0.574923078704372,-0.116295640471484,-0.809900473873434,10,19,13
115,-0.096650863919207,-0.844546148754276,0.52668815548481,10,20,5
115,0.271796710889756,-0.133172043312206,-0.953095879137856,10,20,12
115,-0.035662065761282,0.314245722384336,0.948671620229458,11,22,11
116,-0.327848667596947,-0.24522634743217,-0.912348228298813,3,6,15
116,0.950032880869977,-0.195347968000701,0.243468060870186,4,7,14
116,0.635014903756471,-0.638450730400949,0.434898536279044,8,15,10
116,0.293036805970848,0.714399462063585,-0.635423354110993,8,15,16
116,-0.510325875353831,-0.601551437277826,-0.614575763639706,12,24,2
116,0.05456934689006,0.011621924517939,0.998442345481446,13,27,3
117,0.219983398961015,0.43224141659268,-0.874513957557861,3,5,11
117,0.288194123694932,-0.447414337995057,-0.846619487859897,5,9,15
117,0.476922135417522,0.133393588334021,0.868764310581509,6,12,6
117,0.30623091961769,0.042888905980028,-0.950990623304952,7,13,4
117,0.626317639930292,0.381124386158232,0.680051774637534,7,14,22
